vector,alpha,layer,country,translated,subtask,local_ans_steer,local_ans_no_steer,local_ans_hinted
per-culture (en),-2,15,Bangladesh,False,cities,0.4148148148148148,0.4148148148148148,1.0
per-culture (en),-2,15,Bangladesh,False,culturebench,0.7733333333333333,0.76,0.9066666666666666
per-culture (en),-2,15,Bangladesh,False,culturedistil,0.5,0.5064102564102564,0.8974358974358975
per-culture (en),-2,15,Bangladesh,False,names,0.589622641509434,0.5754716981132075,0.9858490566037735
per-culture (en),-2,15,Bangladesh,True,cities,0.45185185185185184,0.45925925925925926,1.0
per-culture (en),-2,15,Bangladesh,True,culturebench,0.7466666666666667,0.7333333333333333,0.8133333333333334
per-culture (en),-2,15,Bangladesh,True,culturedistil,0.4807692307692308,0.5,0.7692307692307693
per-culture (en),-2,15,Bangladesh,True,names,0.7877358490566038,0.7924528301886793,0.9481132075471698
per-culture (en),-2,15,France,False,cities,0.49714285714285716,0.49142857142857144,1.0
per-culture (en),-2,15,France,False,culturebench,0.6923076923076923,0.717948717948718,0.9487179487179487
per-culture (en),-2,15,France,False,culturedistil,0.44805194805194803,0.42857142857142855,0.8636363636363636
per-culture (en),-2,15,France,False,names,0.5943396226415094,0.5849056603773585,0.8301886792452831
per-culture (en),-2,15,France,True,cities,0.4514285714285714,0.4514285714285714,1.0
per-culture (en),-2,15,France,True,culturebench,0.8461538461538461,0.8205128205128205,0.9487179487179487
per-culture (en),-2,15,France,True,culturedistil,0.5324675324675324,0.525974025974026,0.7727272727272727
per-culture (en),-2,15,France,True,names,0.6037735849056604,0.589622641509434,0.8584905660377359
per-culture (en),-2,15,Russia,False,cities,0.38857142857142857,0.38857142857142857,1.0
per-culture (en),-2,15,Russia,False,culturebench,0.6904761904761905,0.6904761904761905,0.8333333333333334
per-culture (en),-2,15,Russia,False,culturedistil,0.4620253164556962,0.4430379746835443,0.8860759493670886
per-culture (en),-2,15,Russia,False,names,0.5797101449275363,0.5797101449275363,0.9347826086956522
per-culture (en),-2,15,Russia,True,cities,0.38285714285714284,0.38285714285714284,1.0
per-culture (en),-2,15,Russia,True,culturebench,0.6666666666666666,0.6666666666666666,0.7380952380952381
per-culture (en),-2,15,Russia,True,culturedistil,0.6518987341772152,0.6455696202531646,0.8164556962025317
per-culture (en),-2,15,Russia,True,names,0.5144927536231884,0.5072463768115942,0.8768115942028986
per-culture (en),-2,15,Turkey,False,cities,0.4514285714285714,0.42857142857142855,1.0
per-culture (en),-2,15,Turkey,False,culturebench,0.6842105263157895,0.7017543859649122,0.8421052631578947
per-culture (en),-2,15,Turkey,False,culturedistil,0.4900990099009901,0.49504950495049505,0.905940594059406
per-culture (en),-2,15,Turkey,False,names,0.6172248803827751,0.6172248803827751,0.9904306220095693
per-culture (en),-2,15,Turkey,True,cities,0.30857142857142855,0.30857142857142855,1.0
