vector,lang,alpha,layer,local_ans_steer,local_ans_no_steer,local_ans_w_context
held-out universal (translated),bn,2,21,0.5441176470588235,0.4485294117647059,0.8308823529411765
held-out universal (translated),fr,2,22,0.3054393305439331,0.2301255230125523,0.7573221757322176
held-out universal (translated),ru,2,23,0.5163934426229508,0.26229508196721313,0.8934426229508197
held-out universal (translated),tr,2,27,0.3795918367346939,0.2,0.7510204081632653
held-out universal (translated),us,1,26,0.2890625,0.2109375,0.76171875
none,bn,0,21,0.4485294117647059,0.4485294117647059,0.8308823529411765
none,fr,0,21,0.2301255230125523,0.2301255230125523,0.7573221757322176
none,ru,0,21,0.26229508196721313,0.26229508196721313,0.8934426229508197
none,tr,0,21,0.2,0.2,0.7510204081632653
none,us,0,21,0.2109375,0.2109375,0.76171875
per-culture (translated),bn,2,24,0.6617647058823529,0.4485294117647059,0.8308823529411765
per-culture (translated),fr,1,23,0.29707112970711297,0.2301255230125523,0.7573221757322176
per-culture (translated),ru,2,23,0.5,0.26229508196721313,0.8934426229508197
per-culture (translated),tr,2,27,0.4897959183673469,0.2,0.7510204081632653
per-culture (translated),us,2,25,0.47265625,0.2109375,0.76171875
