vector,lang,alpha,layer,local_ans_steer,local_ans_no_steer,local_ans_w_context
held-out universal (translated),bn,3,21,0.5606060606060606,0.45454545454545453,0.8484848484848485
held-out universal (translated),fr,-4,27,0.3090909090909091,0.16363636363636364,0.9454545454545454
held-out universal (translated),ru,4,24,0.49019607843137253,0.21568627450980393,0.8627450980392157
held-out universal (translated),tr,3,24,0.32727272727272727,0.2545454545454545,0.8909090909090909
held-out universal (translated),us,-3,27,0.5147058823529411,0.29411764705882354,0.9117647058823529
none,bn,0,21,0.45454545454545453,0.45454545454545453,0.8484848484848485
none,fr,0,21,0.16363636363636364,0.16363636363636364,0.9454545454545454
none,ru,0,21,0.21568627450980393,0.21568627450980393,0.8627450980392157
none,tr,0,21,0.2545454545454545,0.2545454545454545,0.8909090909090909
none,us,0,21,0.29411764705882354,0.29411764705882354,0.9117647058823529
per-culture (translated),bn,3,24,0.6818181818181818,0.45454545454545453,0.8484848484848485
per-culture (translated),fr,2,25,0.3090909090909091,0.16363636363636364,0.9454545454545454
per-culture (translated),ru,2,25,0.39215686274509803,0.21568627450980393,0.8627450980392157
per-culture (translated),tr,4,24,0.34545454545454546,0.2545454545454545,0.8909090909090909
per-culture (translated),us,3,23,0.5441176470588235,0.29411764705882354,0.9117647058823529
