vector,lang,alpha,layer,local_ans_steer,local_ans_no_steer,local_ans_w_context
held-out universal (translated),bn,2,21,0.5367676767676768,0.4181818181818182,0.8628282828282828
held-out universal (translated),fr,2,22,0.29158645276292333,0.23258467023172905,0.8595959595959596
held-out universal (translated),ru,2,23,0.56468720821662,0.285546218487395,0.9142483660130719
held-out universal (translated),tr,2,27,0.44075757575757574,0.28484848484848485,0.8414141414141415
held-out universal (translated),us,2,22,0.37067079463364294,0.21944272445820434,0.8483660130718954
none,bn,0,21,0.4181818181818182,0.4181818181818182,0.8628282828282828
none,fr,0,21,0.23258467023172905,0.23258467023172905,0.8595959595959596
none,ru,0,21,0.285546218487395,0.285546218487395,0.9142483660130719
none,tr,0,21,0.28484848484848485,0.28484848484848485,0.8414141414141415
none,us,0,21,0.21944272445820434,0.21944272445820434,0.8483660130718954
per-culture (translated),bn,2,24,0.7188888888888889,0.4181818181818182,0.8628282828282828
per-culture (translated),fr,2,27,0.3081639928698752,0.23258467023172905,0.8595959595959596
per-culture (translated),ru,2,23,0.5424089635854342,0.285546218487395,0.9142483660130719
per-culture (translated),tr,2,27,0.5259090909090909,0.28484848484848485,0.8414141414141415
per-culture (translated),us,2,25,0.5957894736842105,0.21944272445820434,0.8483660130718954
