vector,alpha,layer,country,translated,subtask,local_ans_steer,local_ans_no_steer,local_ans_hinted
per-culture (en),2,27,Bangladesh,False,cities,0.9333333333333333,0.4148148148148148,1.0
per-culture (en),1,21,Bangladesh,False,culturebench,0.8533333333333334,0.76,0.9066666666666666
per-culture (en),2,23,Bangladesh,False,culturedistil,0.6602564102564102,0.5064102564102564,0.8974358974358975
per-culture (en),2,21,Bangladesh,False,names,0.8679245283018868,0.5754716981132075,0.9858490566037735
per-culture (en),1,21,Bangladesh,True,cities,0.6444444444444445,0.45925925925925926,1.0
per-culture (en),2,22,Bangladesh,True,culturebench,0.7733333333333333,0.7333333333333333,0.8133333333333334
per-culture (en),2,21,Bangladesh,True,culturedistil,0.5769230769230769,0.5,0.7692307692307693
per-culture (en),2,21,Bangladesh,True,names,0.910377358490566,0.7924528301886793,0.9481132075471698
per-culture (en),1,25,France,False,cities,0.7828571428571428,0.49142857142857144,1.0
per-culture (en),2,23,France,False,culturebench,0.8461538461538461,0.717948717948718,0.9487179487179487
per-culture (en),2,24,France,False,culturedistil,0.6428571428571429,0.42857142857142855,0.8636363636363636
per-culture (en),2,23,France,False,names,0.6886792452830188,0.5849056603773585,0.8301886792452831
per-culture (en),2,21,France,True,cities,0.52,0.4514285714285714,1.0
per-culture (en),-2,18,France,True,culturebench,0.8717948717948718,0.8205128205128205,0.9487179487179487
per-culture (en),2,24,France,True,culturedistil,0.6558441558441559,0.525974025974026,0.7727272727272727
per-culture (en),2,21,France,True,names,0.6556603773584906,0.589622641509434,0.8584905660377359
per-culture (en),2,27,Russia,False,cities,0.9257142857142857,0.38857142857142857,1.0
per-culture (en),2,22,Russia,False,culturebench,0.7619047619047619,0.6904761904761905,0.8333333333333334
per-culture (en),2,25,Russia,False,culturedistil,0.8164556962025317,0.4430379746835443,0.8860759493670886
per-culture (en),2,25,Russia,False,names,0.9420289855072463,0.5797101449275363,0.9347826086956522
per-culture (en),2,27,Russia,True,cities,0.9257142857142857,0.38285714285714284,1.0
per-culture (en),1,24,Russia,True,culturebench,0.7380952380952381,0.6666666666666666,0.7380952380952381
per-culture (en),2,25,Russia,True,culturedistil,0.7658227848101266,0.6455696202531646,0.8164556962025317
per-culture (en),2,25,Russia,True,names,0.717391304347826,0.5072463768115942,0.8768115942028986
per-culture (en),2,25,Turkey,False,cities,0.9542857142857143,0.42857142857142855,1.0
per-culture (en),2,21,Turkey,False,culturebench,0.7280701754385965,0.7017543859649122,0.8421052631578947
per-culture (en),2,25,Turkey,False,culturedistil,0.6287128712871287,0.49504950495049505,0.905940594059406
per-culture (en),2,23,Turkey,False,names,0.9138755980861244,0.6172248803827751,0.9904306220095693
per-culture (en),2,21,Turkey,True,cities,0.7885714285714286,0.30857142857142855,1.0
per-culture (en),2,21,Turkey,True,culturebench,0.7543859649122807,0.6578947368421053,0.8508771929824561
per-culture (en),2,21,Turkey,True,culturedistil,0.6534653465346535,0.6039603960396039,0.8118811881188119
