vector,alpha,layer,subtask,local_ans_steer,local_ans_no_steer,local_ans_hinted
per-culture (en),2,25,cities,0.8728155339805825,0.46601941747572817,1.0
per-culture (en),2,23,culturebench,0.793010752688172,0.7419354838709677,0.8817204301075269
per-culture (en),2,25,culturedistil,0.6141732283464567,0.484251968503937,0.844488188976378
per-culture (en),2,23,names,0.7335640138408305,0.5519031141868512,0.9143598615916955
names (en),2,21,cities,0.8961165048543689,0.46601941747572817,1.0
names (en),2,21,culturebench,0.7983870967741935,0.7419354838709677,0.8817204301075269
names (en),2,21,culturedistil,0.6240157480314961,0.484251968503937,0.844488188976378
names (en),2,21,names,0.7707612456747405,0.5519031141868512,0.9143598615916955
per-task-culture (en),1,25,cities,0.8067961165048544,0.46601941747572817,1.0
per-task-culture (en),2,21,culturebench,0.7768817204301075,0.7419354838709677,0.8817204301075269
per-task-culture (en),2,25,culturedistil,0.655511811023622,0.484251968503937,0.844488188976378
per-task-culture (en),2,21,names,0.7707612456747405,0.5519031141868512,0.9143598615916955
